Name;City;Country;Address;Geonames ID;Geonames Coordinates;histomap; Institution;Source;Other;Spalte1
Abrahams, Gebr; Haag; Holland; Amsterdamsche Veerkade 6;2747373;52.07667, 4.29861;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Abramowitz, S.; Libau; Lettland; Große Str. 22;457954;56.50474, 21.01085;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Achiasafl, G.m.b.H.; Warschau; Polen; Leszno 54;756135;52.22977, 21.01178;; Verlag, Buchhandlung hebräischer und jiddischer Bücher;Adressbuch jüdischer Buchhandel; Postfach 158 ;
Achiewer, Buch- und Kunsthandlung; Tel-Awiw; Palästina; Rothschild-Allee;293397;32.08088, 34.78057;;;Adressbuch jüdischer Buchhandel; P.O.B. 113. Filialen: Jerusalem, Haifa, Tiberias, Petach-Tikwah, Berlin W 15, Kietzenburger Str. 8a;
Adler, A. & Co.; London E1; England; 34 Brick Lane;2643743;51.50853, -0.12574;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Ajanoth G.m.b.H; Berlin-Charlottenburg; Deutschland; Kantstr. 46;2940187;52.51667, 13.28333;52.506656517665604, 13.311956523952638;;Adressbuch jüdischer Buchhandel;" bei ""Jalkut"" ";
Albeck, A.; Bialystok; Polen; Nowy Swjat 1;776069;53.13333, 23.16433;; Verlag;Adressbuch jüdischer Buchhandel;;
Alter, Dawid; Lublin; Polen; Lubartowskistr. 15;765876;51.25, 22.56667;; Buchhandlung hebr. Bücher;Adressbuch jüdischer Buchhandel;;
Alter, J. M.; New York; U.S.A.; 180 Clinton Street;5128581;40.71427, -74.00597;; Buchhandlung hebr. Bücher;Adressbuch jüdischer Buchhandel;;
Alter, J. M.; Warschau; Polen; Nalewki Str.33;756135;52.22977, 21.01178;; Buchhandlung hebr. Bücher;Adressbuch jüdischer Buchhandel;;
Alt-Jiddisch; Warschau; Polen; Dzielnastr. 18;756135;52.22977, 21.01178;; Verlag jiddischer Bücher;Adressbuch jüdischer Buchhandel; Inhaber M. Cukier ;
Alt-Jung; Warschau; Polen; Kramy Nalewkowskie I Iah B. Wojeikiewicz;756135;52.22977, 21.01178;; Verlag jiddischer Bücher;Adressbuch jüdischer Buchhandel;;
Altnajland; Warschau; Polen;" s. ""Tel-Awiw"" ";756135;52.22977, 21.01178;;;Adressbuch jüdischer Buchhandel;;
Amkraut i Freund; Przemysl; Klein-Polen; Jagiel-Techa Str 29;761168;49.78498, 22.76728;; Buchhandlung und Verlag hebr. u jidd. Bücher;Adressbuch jüdischer Buchhandel; Postscheckkonto: 141382. Przemysl. Zivnosten-ka Banka in Prag;
Anfang, Der; Buenos Aires; Argentinien; Lavalle Str. 2937;3435910;-34.61315, -58.37723;;;Adressbuch jüdischer Buchhandel; Inh. M. Stoliar;
Aptekar, M.; London E1; England; 12 Beaumont Square Street;2643743;51.50853, -0.12574;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Arbeiterheim; Warschau; Polen; Karmelickastr. 15;756135;52.22977, 21.01178;; Verlag jiddischer Bücher;Adressbuch jüdischer Buchhandel;;
Arbet Kooperativ; Riga; Lettland; Elisabetstr. 91/93;456172;56.946, 24.10589;; Buchhandlung jidd. u. russ. Bücher;Adressbuch jüdischer Buchhandel;" Postfach 662. All. Auslief. des Verlages ""Arbeiterheim"", Riga";
Arbeiterheim; Riga; Lettland; Dorpaterg. 15/17;456172;56.946, 24.10589;;;Adressbuch jüdischer Buchhandel;" Postfach 662. All. Auslieferung durch ""Arbet"", Riga ";
Asaph Publishing Co.; New York; U.S.A.; 101 W. 113th Str;5128581;40.71427, -74.00597;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Atikija; Tel-Awiw; Palästina; Antiquariat;293397;32.08088, 34.78057;;;Adressbuch jüdischer Buchhandel;;
Aurora; Czernowitz Bukowina; Rumänien; Herrengasse 28;3078016;49.18232, 16.63716;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Avigdor, D.; Drohobycz; Klein-Polen; Maly Rynek 7;709611;49.351, 23.5174;; Buchhandlung v. jüd. Liturgie- und Religionsbüchern, Judaica;Adressbuch jüdischer Buchhandel;;
Axelmann, J. S; Philadelphia Pa.; U.S.A.; 960 N. Marshallstr.;4560349;39.95238, -75.16362;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Balaban, Pesel; Lwow; Klein-Polen; Krasickichstr. 12;702550;49.83826, 24.02324;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Baloscher, A.; Kowno; Litauen; Laisves Aleja 78;598316;54.90272, 23.90961;; Leihbibliothek u. Buchhandlung;Adressbuch jüdischer Buchhandel;;
Barkai; Warschau; Polen; Nowolipkistr. 7;756135;52.22977, 21.01178;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel; s. Central;
Baumkoller, N.; Warschau; Polen; S-to Krzyska 35;756135;52.22977, 21.01178;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Beinkinstadt, M.; Cape Town; Südafrika; 38 Canterbury Street;3369157;-33.92584, 18.42322;; Buchhandlung für hebr. u. engl. Bücher;Adressbuch jüdischer Buchhandel; Tel-Adr.: Stationery. Postfach 1148. Bankverbindung: National Bank of S. Africa ;
Belf, Josef; Wien I; Oesterreich; Rabensteig 3;2761369;48.20849, 16.37208;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Bengis, S.; Libau; Lettland; Helenenstr. 1;457954;56.50474, 21.01085;; Hebräische Buchhandlung;Adressbuch jüdischer Buchhandel;;
Bengis, Simon; Lappienen; Ostpreußen; Hebr. Buchhandlung;554234;54.70649, 20.51095;;;Adressbuch jüdischer Buchhandel;;
Bergmann, H.; Frankfurt a.M.; Deutschland; Allerheiligenstr. 45;2925533;50.11552, 8.68417;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Birnbaum, Naftali; Kezmarak; Slovakei;;724503;49.13571, 20.43352;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Bloch Publishing Co., The Jewish Book Concern; New York; U.S.A.; 26 East 22nd. Street;5128581;40.71427, -74.00597;; Verlag, Buchhandlung hebr. u. engl. Bücher;Adressbuch jüdischer Buchhandel; Auslieferung von Dwir-Mikra;
Blumstein, Leo; Tel-Awiw; Palästina; Herzl Street;293397;32.08088, 34.78057;; Buchhandlung u. Kunsthandlung;Adressbuch jüdischer Buchhandel;;
Boas, C., Nachf.; Berlin C2; Deutschland; Neue Friedrichstr. 69;2950159;52.52437, 13.41053;52.522169746277754, 13.405677558599752; Buchhandlung u. Verlag hebr., jidd. u. deutscher Bücher;Adressbuch jüdischer Buchhandel; Bank: Diskontogesellschaft, Berlin, Neue Promenade 6;
Boekhandel van den Nederlandschen Zionistenbond; Tilburg 2; Holland; Prof. Dondersstraat 72;2746301;51.55551, 5.0913;; Buchhandlung;Adressbuch jüdischer Buchhandel;" Tel-Adr: ""Polak"" Tel. 196 u. 979. Bankverb.: Nationale Bankvereinigung. Postsch. 81404";
