ID	creator	title	title-alt-script	publisher	to split 1	clusteredPlaces	clusteredPublisher	date	language	imagecount
50yorlebn00me		50 yor lebn	50 יאר לעבן : זאמלבוך געווידמעט מאיר קאסטאף צו זיין 50-יאריקן געבורטסטאג	Meʾir Ḳasṭof yubiley-ḳomiṭeṭ			Meʾir Ḳasṭof yubiley-ḳomiṭeṭ	1935	yid	138
SHOMERSMISHPET	Sholem Aleichem, 1859-1916	SHOMERS MISHPET by Sholem Aleichem, 1888	שמרס משפט					1888	yid	
TsveyShifl-nesiesUnEynBarg-nesieDrayNisim	Shackleton, Ernest Henry, Sir, 1874-1922	tsvey shifl-nesies un eyn barg-nesie: dray nisim	צוויי שיפל-נסיעות איין בארג-נסיה	Barry Goldstein, National Yiddish Book Center			Barry Goldstein, National Yiddish Book Center	2011, 1917-1919	yid	
abgotlobersyid00gott	Gottlober, Abraham Baer, 1810-1899	A. B. Goṭlobers Yidishe ṿerk	א. ב. גאטלאבערס יידישע ווערק	B. Ḳletsḳin			B. Ḳletsḳin	1927	yid	304
adasliderbukh00auer	Auerbach, Ephraim	Adas liderbukh	אדאס לידערבוך	Matones			Matones	c1934	yid	112
afnmizrekhizumru00breg	Bregman, S.	Afn Mizrekh Iz Umruik	אפנ מיזרעכ איז אומרויק : ראמאנ	"Farlag ""Emes"""			"Farlag ""Emes"""	1934	yid	356
aleksovim00etti	Ettinger, Solomon, 1803-1856	Ale ksovim	אלע כתבים	B. Ḳletsḳin			B. Ḳletsḳin	1925	yid	720
algemeyneentsik00dubn		Algemeyne entsiḳlopedye : probehefṭ	אלגעמיינע ענציקלאפעדיע : פראבעהעפט	Dubnoṿ-fond			Dubnoṿ-fond	1932	yid	48
altsineynem00brau	Bra'un, Ḳaiṭi, 1887-1955	Alts in eynem	אלץ אין איינעם : פעליעטאנען, סקיצען און ערצעהלונגען ; פון לאנדאנער אידישען ארבייטער לעבען	o. fg.			o. fg.,	1951?]	yid	190
amerikedosland00kirs	Kirszenbaum, J.	Ameriḳe, dos land fun ṿunder	אמעריקע, דאס לאנד פון ווונדער : רעפארטאזשן	Ḥ. Bzshoza			Ḥ. Bzshoza	1939	yid	362
amolinamerike00kope	Kopeloff, Isidore, 1859-1933	Amol in Ameriḳe	אמאל אין אמעריקע	Ḥ. Bzshoza, hoypṭ farḳoyf far Ameriḳe: M.N. Mayzel	Ḥ. Bzshoza, hoypṭ farḳoyf far Ameriḳe	Ḥ. Bzshoza, hoypṭ farḳoyf far Ameriḳe	M.N. Mayzel	1928	yid	480
amolinhalbnyoyvl00mend	Mendelson, José, 1891-1969	Amol in a halbn yoyvl	אמאל אין א האלבן יובל	Aroysgegebn fun yoyvl ḳomiṭeṭ			Aroysgegebn fun yoyvl ḳomiṭeṭ	1943	yid	522
arbetkinder00baks	Bakst, Y.	Arbet-ḳinder	ארבעט-קינדער : אלעפבייז	Tsenṭraler felḳer-farlag fun FSSR			Tsenṭraler felḳer-farlag fun F.S.S.R.	1930	yid	112
aritmetik100rusi	Rusiecki, A. M.	Ariṭmeṭiḳ 1	אריטמעטיק 1	Melukhe farlag far shul-oysgabn			Melukhe-farlag far shul-oysgabn	1951	yid	146
arumderfabrik00teit	Teitsh, Moishe, 1882-1935	Arum der fabriḳ	ארום דער פאבריק ״די ערשטע שוואלב״ :‏ ‏ראמאן	Ṿaysruslendisher melukhe farlag			Ṿaysruslendisher melukhe-farlag	1929	yid	280
avrahamgolombbib00jesh	Jeshurin, Ephim H., 1885-1967.	Avraham Golomb bibliografye	אברהם גאלאמב ביבליאגראפיע	o. fg.			o. fg.,	1964	yid	34
avrahamzakbibl00jesh	Jeshurin, Ephim H., 1885-1967.	Avraham Zaḳ bibliografye	אברהם זאק ביבליאגראפיע	Dos Poylishe Yidntum			Dos Poylishe Yidntum	1962	yid	34
avukahrashet00lssh		Aṿuḳah Rashe tevot faḳel	אבוקה ראשי תבות פאקעל : העברייאישע און אידישע ר״ת אין א פאפולארען אידיש	L.S. Shṭayn]			L.S. Shṭayn	c708, 1948	yid	104
aykhmandereyberh00robi	Robinson, Nehemiah, 1898-1964	Aykhman, der eyberher fun der Natsi mord-mashin	אייכמאן, דער אייבערהער פון דער נאצי מארד-מאשין	Insṭiṭuṭ far Yidishe Inyonim			Insṭiṭuṭ far Yidishe Inyonim	1961	yid	60
ayndruknunbilder00roiz	Roiz, Salomon	Ayndrukn Un Bilder	איינדרוקן און בילדער : פון א רייזע איבער צוועלף לענדער פון ביידע זייטן	Sh. Royz			Sh. Royz	1962	yid	144
baderofenergrub00lure	Lur'e, Noakh, 1885-1960	Ba der ofener grub	בא דער אפענער גרוב : דערציילונגענ	Der emes			Der emes	1944	yid	98
baladnungrotes00kacy	Kacyzne, Alter, 1885-1941	Baladn un groṭesḳn	באלאדן און גראטעסקן	Ḥ. Bzshoza			Ḥ. Bzshoza	1936	yid	176
barghurbm00zeru	Zerubavel, Jacob, 1886-1967	Barg ḥurbm	בארג חורבן : קאפיטלען פוילן	Aroysgegebn durkh Parṭey-organizatsye Poyle-Tsien (ShMOL)			Aroysgegebn durkh Parṭey-organizatsye Poyle-Tsien (ShMOL)	1948	yid	262
bayunzyuden00pgra		Bay unz Yuden	ביי אונז יודען : זאמעלבוך פאר פאלקלאר און פילאלאגיע	P. Graubard			P. Graubard	683, 1923	yid	242
bilderfuninheysn00drop	Dropkin, Celia, 1888-1956	"Bilder fun ""In heysn vinṭ"""	"בילדער פון ""אין הייסן ווינט"" : לידער, דארציילונגען און בילדער"	J. J. Dropkin]			J. Dropkin	1959	yid	26
bilderfunleben00scho	Schoenfeld, Rose	Bilder fun leben	בילדער פון לעבען	[Friend H. Kramer]			Friend H. Kramer	1925	yid	248
birobidzshan00pere	Perelman, Osher, b. 1895	Birobidzshan	ביראבידזשאן : שילדערונגען פון א רייזע אין יולי-אויגוסט 1934	Groshn-biblioṭeḳ			Groshn-biblioṭeḳ	1934	yid	284
boymfunpoyln00sega	Segalowitch, Zusman, 1884-1949	A boym fun Poyln	א בוים פון פוילן	[ o. fg.]			o. fg.,	1945	yid	198
brisk00aroy		Brisḳ	בריסק : יוביליי-אויסגאבע 1953-1923	Aroysgegebn durkh der farvalṭung fun Brisḳer Landslayṭ-Fareyn un Umgegenṭ in Argenṭine			Aroysgegebn durkh der farvalṭung fun Brisḳer Landslayṭ-Fareyn un Umgegenṭ in Argenṭine	1953	yid	222
brivfunromenro00roll	Rolland, Romain, 1866-1944	Briṿ fun Romen Rolan tsu a Yidishn parṭizan	בריוו פון ראמען ראלאן צו א יידישן פארטיזאן	Centre de Documentation après de lʾU.J.R.E.			Centre de Documentation après de lʾU.J.R.E.	1947	yid	60
bukarester00farb		Buḳareśṭer zamlbikher	בוקארעשטער זאמלביכער	Farband fun Yidishe shrayber un bublitsisṭn in Rumenye			Farband fun Yidishe shrayber un bublitsisṭn in Rumenye	1947	yid	178
dembalegufstoy00mark	Markish, Peretz, 1895-1952	Dem balegufs ṭoyṭ	דעמ באלעגופס טויט	Farlag emes			"Farlag ""Emes"""	1935	yid	248
demnatsisyidishe00katz	Katz, P. Moses	Dem Natsi's Yidishe ṭokhṭer	דעם נאצי'ס יידישע טאכטער : א לעבנס-בילד אין דריי אקטן מיט פראלאג און עפילאג	Narod Pres			Narod pres	1947	yid	130
deralterfunlom00suhl	Suhl, Yuri, 1908-1986	Der alṭer fun Lompaduni	דער אלטער פון לאמפאדוני	Farlag Nidershlezye			"Farlag ""Nidershlezye"""	1948	yid	70
deremesvegen00unze		Der emes̀ ṿegen geshlekhṭs-leben	דער אמת וועגען געשלעכטס־לעבען	Unzer gezund			Unzer gezund	1915	yid	198
derfamilyendok00pasi		Der familyen-doḳṭor	דער פאמיליען-דאקטאר און פיהרער צו געזונטהייט : אן אפהאנדלונג איבער דער אויסמיידונג און קורירונג פון קראנקהייטען	Pasifiḳ Pres			Pasifiḳ Pres	1926	yid	434
derkarahod00schn	Schnitzler, Arthur, 1862-1931	Der ḳarahod	דער קאראהאד : צעהן דיאלאגען	Liṭerarisher ferlag			Liṭerarisher ferlag	1916	yid	108
