Name;City;Country;Address;Geonames ID;Geonames Coordinates;histomap; Institution;Source;Other;
Abramson, L.;Berlin;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
Antwerpen;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;Jüdisches Hilfskomitee für die Hungernden in Rußland;
Arbeiterbuchhandlung, Jüdische;Berlin N24;Deutschland;Auguststr. 17;;;52.526637942172535, 13.395493589466525;Buchhandlung, Verlag;Jüdische Bücher aus Berlin;;
Arbeiterbuchhandlung, Jüdische;Berlin N24;Deutschland;Artilleriestr. 8;;;52.52620920012593, 13.393446761900305;Buchhandlung, Verlag;Jüdische Bücher aus Berlin;;
Argonauten-Verlagsgesellschaft m.b.H.;Berlin SW29;Deutschland;Belle-Alliancestr. 81;;;52.49118355142331, 13.387454857634498;Verlag;Jüdische Bücher aus Berlin;;
Back und Mankes;Kovno;Litauen;Arzecko 5.;;;;Druckerei;Jüdische Bücher aus Berlin;;
Bartels, F.;Berlin SW68;Deutschland;Lindenstr. 16/17;;;52.50292888712984, 13.39546609232657;Druckerei, Buchbinderei;Jüdische Bücher aus Berlin;;
Berliner Musikaliendruckerei GmbH;Berlin;Deutschland;;;;;Druckerei;Jüdische Bücher aus Berlin;;
Bibliographisches Institut;Leipzig C1;Deutschland;Täubchenweg 17;;;;Druckerei;Jüdische Bücher aus Berlin;;
Brandstetter, Oscar;Leipzig C1;Deutschland;Dresdner Str. 11/13;;;;Druckerei;Jüdische Bücher aus Berlin;;
Breitkopf & Härtel;Leipzig C1;Deutschland;Nürnberger Str. 36/38;;;;Druckerei;Jüdische Bücher aus Berlin;;
Chmura, Felix;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Drugulin, W. E.;Leipzig C1;Deutschland;Czermaksgarten 8;;;;Druckerei;Jüdische Bücher aus Berlin;;
Dubnow-Fonds;Berlin-Charlottenburg;Deutschland;Uhlandstr. 20/4;;;52.50434677111614, 13.325447464948649;Verlag;Jüdische Bücher aus Berlin;;
Elbemühl;Wien VI;Österreich;;;;;Druckerei;Jüdische Bücher aus Berlin;;
Eliasberg, Dr. Ahron;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Emigdirect;Berlin W62;Deutschland;Kurfürstenstr. 81a;;;52.5044505454706, 13.345209368461305;Verlag;Jüdische Bücher aus Berlin;;
Emigdirect;Berlin W62;Deutschland;Spichernstr. 8;;;52.49740045489137, 13.332308887578964;Verlag;Jüdische Bücher aus Berlin;;
Energiadruck, leonid Schapiro;Berlin SW61;Deutschland;Gitschinerstr. 61;;;52.49870269074177, 13.409332425449652;Druckerei, Verlag;Jüdische Bücher aus Berlin;;
Engel, Julius Dmitrievic;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Eschkol;Berlin;Deutschland;Bismarckstr. 106;;;52.51194311124399, 13.315877643849923;Verlag;Jüdische Bücher aus Berlin;;
Ewer-Gesellschaft für Buch- und Kunsthandel;Berlin NW7;Deutschland;Dorotheenstr. 35;;;52.518124492042475, 13.378363350035448;Verlag;Jüdische Bücher aus Berlin;;
Ewer-Gesellschaft für Buch- und Kunsthandel;Berlin NW7;Deutschland;Lietzenburger Str. 8a;;;52.5007047166621, 13.345085850329653;Verlag;Jüdische Bücher aus Berlin;;
Ewer-Gesellschaft für Buch- und Kunsthandel;Berlin NW7;Deutschland;Knesebeckstr. 54/55;;;52.500228449920485, 13.322063473424974;Buchhandlung;Jüdische Bücher aus Berlin;;
Ewer-Gesellschaft für Buch- und Kunsthandel;Berlin NW7;Deutschland;Flensburger Str. 30;;;52.52026369966579, 13.344767780687938;Buchhandlung;Jüdische Bücher aus Berlin;;
Ewer-Druckerei;Berlin SO26;Deutschland;Elisabethufer 44;;;52.503611495478175, 13.417268339405402;Druckerei;Jüdische Bücher aus Berlin;;
Fürst;Berlin W30;Deutschland;Goltzstr. 26;;;52.49617394928973, 13.353994419575312;Druckerei;Jüdische Bücher aus Berlin;;
Verlag Funken GmbH;Berlin SW61;Deutschland;Lankwitzstr. 13;;;52.43044601608272, 13.332414455259174;Verlag;Jüdische Bücher aus Berlin;;
Verlag Funken GmbH;Berlin SW61;Deutschland;Kantstr. 56a;;;52.50688052309961, 13.30715674902878;Verlag;Jüdische Bücher aus Berlin;;
Gescher;Berlin-Schöneberg;Deutschland;Hauptstr. 37;;;52.484589549690554, 13.352484803655326;Verlag;Jüdische Bücher aus Berlin;;
Goldberg, Hermann;Berlin SW68;Deutschland;Zimmerstr. 7/8;;;52.50727113745809, 13.386792330834878;Druckerei;Jüdische Bücher aus Berlin;;
Grohmann, Willi;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Gutenberg;Berlin N54;Deutschland;Schwedter Str. 263;;;52.5333372162437, 13.410798755259174;Druckerei;Jüdische Bücher aus Berlin;;
